Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
110385843/110385835   20.296    0.000   35.817    0.000 {built-in method builtins.isinstance}
1442021/720617   14.434    0.000  102.084    0.000 base.py:276(__new__)
 52687497   11.464    0.000   15.255    0.000 generic.py:10(_check)
 13229965    8.384    0.000   16.009    0.000 common.py:1708(_is_dtype_type)
 76796532    6.934    0.000    7.333    0.000 {built-in method builtins.getattr}
   961324    6.827    0.000    9.528    0.000 {pandas._libs.lib.infer_dtype}
 12504375    5.958    0.000   25.606    0.000 base.py:247(is_dtype)
  8420992    5.402    0.000   13.980    0.000 common.py:1565(is_extension_array_dtype)
17829199/17829178    5.401    0.000    5.408    0.000 {built-in method builtins.hasattr}
3860441/3620091    5.233    0.000    6.648    0.000 {built-in method numpy.array}
  8421261    4.738    0.000    6.586    0.000 dtypes.py:75(find)
   239860    4.304    0.000  204.980    0.001 indexing.py:1068(_setitem_with_indexer_missing)
   242268    4.071    0.000    4.101    0.000 {method 'set_value' of 'pandas._libs.index.IndexEngine' objects}
481018/480623    3.866    0.000   59.608    0.000 series.py:183(__init__)
   240251    3.374    0.000    4.880    0.000 {pandas._libs.lib.maybe_convert_objects}
6013942/6012536    3.133    0.000    7.930    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
 31300740    2.849    0.000    2.849    0.000 {built-in method builtins.issubclass}
   964046    2.764    0.000    2.764    0.000 {built-in method numpy.empty}
  1444789    2.468    0.000    4.504    0.000 _dtype.py:333(_name_get)
  1442023    2.442    0.000    9.209    0.000 common.py:219(asarray_tuplesafe)
721691/720985    2.259    0.000    2.271    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2885285    2.113    0.000    8.054    0.000 dtypes.py:1124(is_dtype)
   480594    2.092    0.000   25.579    0.000 construction.py:388(sanitize_array)
  2884709    2.037    0.000    7.545    0.000 common.py:372(is_datetime64_dtype)
   242268    2.014    0.000  230.825    0.001 series.py:1009(__setitem__)
   239867    1.993    0.000    5.022    0.000 {pandas._libs.lib.clean_index_list}
  1683470    1.940    0.000    8.219    0.000 common.py:1435(is_bool_dtype)
  9863276    1.892    0.000    2.819    0.000 common.py:208(<lambda>)
  3366004    1.846    0.000    6.867    0.000 common.py:441(is_timedelta64_dtype)
  4092860    1.830    0.000    2.475    0.000 common.py:1844(pandas_dtype)
   720375    1.806    0.000    4.366    0.000 cast.py:1458(construct_1d_object_array_from_listlike)
  2646568    1.774    0.000    3.511    0.000 {pandas._libs.lib.is_list_like}
  2886101    1.736    0.000    7.739    0.000 dtypes.py:917(is_dtype)
  2404247    1.729    0.000    4.938    0.000 base.py:5393(maybe_extract_name)
  1439166    1.718    0.000    1.718    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
8248245/6304813    1.675    0.000    2.284    0.000 {built-in method builtins.len}
   240347    1.642    0.000    2.063    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
   481337    1.563    0.000    9.883    0.000 blocks.py:2981(get_block_type)
   240331    1.562    0.000   10.336    0.000 concat.py:31(get_dtype_kinds)
   480478    1.532    0.000    7.478    0.000 cast.py:1209(maybe_cast_to_datetime)
  3848459    1.484    0.000    8.909    0.000 common.py:542(is_categorical_dtype)
   239860    1.439    0.000   10.030    0.000 indexing.py:1660(_convert_to_indexer)
  3610573    1.362    0.000    1.362    0.000 {built-in method _abc._abc_instancecheck}
  2884042    1.356    0.000   13.695    0.000 common.py:987(is_datetime64_any_dtype)
  9863276    1.338    0.000    1.338    0.000 common.py:206(classes)
   239860    1.289    0.000  206.884    0.001 indexing.py:782(_setitem_with_indexer)
   722151    1.281    0.000    2.957    0.000 generic.py:5276(__setattr__)
   240347    1.278    0.000   45.617    0.000 base.py:2706(get_indexer)
  3366548    1.277    0.000    8.010    0.000 common.py:403(is_datetime64tz_dtype)
  3366831    1.269    0.000    9.323    0.000 common.py:506(is_interval_dtype)
  2166357    1.245    0.000    2.347    0.000 common.py:1672(_get_dtype)
  1441661    1.193    0.000    1.193    0.000 _internal.py:830(npy_ctypes_check)
   480623    1.141    0.000   14.749    0.000 managers.py:1467(__init__)
  3367647    1.127    0.000    8.866    0.000 common.py:472(is_period_dtype)
   719586    1.098    0.000    3.111    0.000 base.py:2637(get_loc)
   240095    1.059    0.000   14.761    0.000 concat.py:72(concat_compat)
  1687874    1.055    0.000    3.501    0.000 common.py:222(is_object_dtype)
  1923868    1.054    0.000    2.694    0.000 common.py:1401(is_float_dtype)
   721101    1.017    0.000    2.368    0.000 base.py:472(_simple_new)
   962725    0.999    0.000    2.272    0.000 common.py:252(is_sparse)
   239860    0.986    0.000   76.536    0.000 base.py:4972(insert)
  2887227    0.980    0.000    1.388    0.000 inference.py:358(is_hashable)
  3610573    0.947    0.000    2.310    0.000 abc.py:137(__instancecheck__)
   242268    0.946    0.000    8.579    0.000 series.py:1047(_set_with_engine)
   240369    0.935    0.000    3.329    0.000 range.py:83(__new__)
   481018    0.920    0.000    2.126    0.000 series.py:376(_set_axis)
   481854    0.918    0.000    1.952    0.000 blocks.py:118(__init__)
   481854    0.915    0.000   13.129    0.000 blocks.py:3027(make_block)
   240325    0.860    0.000    2.668    0.000 cast.py:1088(maybe_castable)
   242240    0.855    0.000    0.855    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1202507    0.820    0.000    1.989    0.000 common.py:830(is_signed_integer_dtype)
   480755    0.794    0.000    6.080    0.000 base.py:5463(_maybe_cast_data_without_dtype)
   482331    0.792    0.000    0.792    0.000 generic.py:190(__init__)
   485699    0.769    0.000   38.499    0.000 base.py:5293(ensure_index)
1013308/15712    0.743    0.000    1.495    0.000 copy.py:132(deepcopy)
   480227    0.738    0.000    4.767    0.000 cast.py:1102(maybe_infer_to_datetimelike)
   961432    0.719    0.000    1.723    0.000 common.py:775(is_integer_dtype)
  1444484    0.712    0.000    1.346    0.000 base.py:3638(values)
  1204184    0.696    0.000    1.095    0.000 managers.py:1565(internal_values)
   969148    0.694    0.000    1.002    0.000 {pandas._libs.lib.is_scalar}
  1202504    0.685    0.000    1.724    0.000 common.py:887(is_unsigned_integer_dtype)
2172916/1932570    0.680    0.000    6.277    0.000 _asarray.py:16(asarray)
  3366689    0.672    0.000    0.956    0.000 common.py:216(<lambda>)
   720615    0.667    0.000    3.537    0.000 base.py:5409(_maybe_cast_with_dtype)
   722326    0.664    0.000    1.123    0.000 series.py:428(name)
721761/721759    0.640    0.000    0.646    0.000 generic.py:5257(__getattr__)
1450548/1450547    0.637    0.000    0.637    0.000 {method 'view' of 'numpy.ndarray' objects}
   240343    0.628    0.000    8.246    0.000 construction.py:506(_try_cast)
   239860    0.605    0.000  218.986    0.001 indexing.py:665(__setitem__)
   239860    0.575    0.000   36.426    0.000 base.py:3809(_coerce_scalar_to_index)
   240251    0.563    0.000    6.961    0.000 cast.py:70(maybe_convert_platform)
   240098    0.557    0.000   35.296    0.000 base.py:544(_shallow_copy_with_infer)
  1444789    0.549    0.000    1.249    0.000 _dtype.py:319(_name_includes_bit_suffix)
   481854    0.520    0.000    0.569    0.000 blocks.py:251(mgr_locs)
   720319    0.514    0.000    2.922    0.000 base.py:853(_ndarray_values)
   239860    0.502    0.000   11.348    0.000 indexing.py:633(_get_setitem_indexer)
   239862    0.500    0.000    1.702    0.000 indexing.py:737(_convert_scalar_indexer)
   756700    0.497    0.000    1.848    0.000 {built-in method builtins.any}
   721115    0.485    0.000    0.660    0.000 generic.py:409(_get_axis_name)
   240366    0.484    0.000    4.154    0.000 base.py:5387(default_index)
  3366689    0.482    0.000    0.482    0.000 common.py:211(classes_and_not_datetimelike)
  1444805    0.457    0.000    0.457    0.000 _dtype.py:36(_kind_name)
   480872    0.457    0.000    2.416    0.000 <__array_function__ internals>:2(concatenate)
  1204184    0.452    0.000    1.547    0.000 series.py:480(_values)
  1453469    0.449    0.000    0.600    0.000 base.py:615(__len__)
   240257    0.428    0.000    1.506    0.000 numeric.py:283(full)
   240846    0.415    0.000    1.170    0.000 range.py:131(_simple_new)
2890488/2889887    0.409    0.000    0.409    0.000 {built-in method builtins.hash}
   240498    0.408    0.000    0.408    0.000 {built-in method pandas._libs.lib.is_datetime_array}
   240112    0.395    0.000    1.525    0.000 base.py:602(_engine)
985719/985713    0.379    0.000    1.014    0.000 {built-in method builtins.all}
